Latin,Français,Traduction française
fecit conjurationem,fit une conspiration,
"nobilitatis,","de la noblesse,",
et persuasit civitati,et persuada à la cité,
ut exirent de suis finibus,qu'ils sortissent de leurs frontières,
cum omnibus copiis :,"avec toutes leurs troupes,",
"Esse perfacile,","« Être très-facile,",
"quum preestarent omnibus virtute,",puisqu'ils l'emportaient sur tous par la valeur,
potiri imperio,de s'emparer de l'empire,
totius Galliæ. »,de toute la Gaule. »,
Persuasit id eis facilus,Il persuada cela à eux plus facilement,
"hoc, quod Helvetii","par ceci, que les Helvètiens",
continentur undique,sont resserdés de-toutes-parts,
natura loci :,par la nature du pays :,
"ex una parte,","d'un côté,",
"flumine Rheno,","par le fleuve du Rhin,",
"latissimo atque altissimo,","très-large et très-profond,",
qui dividit a Germanis,qui sépare des Germains,
agrum Helvétium ;,le territoire helvétien ;,
"ex altera parte,","du second côté,",
"monte Jura altissimo,","par la montagne du Jura, très-haute,",
qui est inter Sequanos,qui est entre les Séquaniens,
et Helvetios ;,et les Helvètiens ;,
"tertia, lacu Lemanno","du troisième, par le lac Léman",
"et flumine Rhodano,","et le fleuve du Rhône,",
qui dividit nostram provinciam,qui séparent notre province,
ab Helvetiis.,des Helvètiens.,
Fiebat his rebus,Il se faisait par ces choses (il en résultait),
"ut et vagarentur minus late,","que et ils se répandaient moins au large,",
et possent minus facile,et ils pouvaient moins facilement,
inferre bellum finitimis :,porter la guerre chez leurs voisins :,
de qua causa,pour lequel motif,
homines cupidi bellandi,ces hommes avides de guerroyer,
afficiebantur,étaient affectés,
magno dolore.,d'une grande douleur.,
Arbitrabantur autem,Or ils pensaient,
pro multitudine hominum,par-rapport-au grand-nombre des hom-,
et pro gloria,et par-rapport-à leur gloire,
belli atque fortitudinis,de guerre et de valeur,
"se habere fines angustos,","eux-mêmes avoir des frontières resservées,",
qui patebant,aux qui s'étendaient,
in longitudinem,en longueur,
ducentat quadraginta,deux-cents et quarante milliers de pas,
in latitudinem,en largeur,
centum et octoginta.,cent et quatre-vings milliers.,
III. Adducti,III. Amenés (déterminés),
"his rebus,","par ces motifs,",
et permoti,et ébranlés,
"auctoritate Orgetorigis,","par l'autorité d'Orgétorix,",
constituerunt,ils résolurent,
"comparare ea,","de préparer ces (les) objets,",
qua pertinereent,qui se rapportaient,
ad proficiscendum;,à partir (au départ);,
coemere numerum,d'acheter un nombre aussi grand,
quam maximum,qu'ils pouvaient acheter le plus grand,
jumentorum et carrorum;,de bêtes-de-somme et de chariots;,
facere sementes,de faire des semailles aussi grandes,
"quam maximas,","qu'ils pouvaient faire les plus grandes,",
ut copia frumenti,afin qu'abondance de blé,
suppeteret in itinere;,fût-sous-la-main dans la route;,
confirmare pacem,d'affermir la paix,
et amicitiam,et l'amitié,
cum civitatibus proximis.,avec les cités les plus proches.,
Duxerunt biennium,Ils estimèrent un espace-de-deux-ans,
esse satis sibi,être assez pour eux-mêmes,
ad conficiendas eas res;,pour achever ces choses;,
confirmant lege,ils sanctionnent par une loi,
profectionem,leur départ,
in tertium annum.,pour la troisième année.,
Orgetorix deligitur,Orgétorix est choisi,
ad conficiendas eas res.,pour achever ces choses.,
"Is, ubi suscepit","Celui-ci, dès qu'il eut entrepris",
"legationem ad civitates,","une ambassade vers les cités,",
in eo itinere,dans ce voyage,
"persuadet Castico,","persuade à Casticus,",
"filio Catamantaledis,","fils de Catamantaledis,",
"Sequano, cujus pater","Séquano, dont le père",
obtinuerat regnum,avait occupé la royauté,
in Sequanis,chez les Séquaniens,
"multos annos,","pendant de nombreuses années,",
et appellatus erat amicus,et avait été appelé ami,
"a senatu populi Romani,","par le sénat du peuple romain,",
ut occuparet in sua civitate,qu'il s'emparât dans sa cité,
regnum quod pater,de la royauté que son père,
habuerat ante;,avait eue auparavant;,
itemque persuadet,et de même il persuade,
"Dumnorigi Eduo,",à Dumnorigi l'Éduen.,
"fratri Divitiaci,","frère de Divitiacus,",
qui eo tempore,qui en ce temps,
obtinebat principatum in civitate,occupait le premier-rang dans la cité,
"ac erat maxime acceptus plebi,","et était le plus agréable au peuple,",
"ut conaretur idem, datque ei suam filium in matrimonium.","qu'il tentât de faire la même chose, et il donne à lui sa fille en mariage.",
"Probat illis esse perfacile factu perficere conata, propterea quod ipse obtenturus esset imperium","Il prouve à eux être très-facile à être fait (à faire) d'achever ces entreprises, parce que lui-même devait obtenir l'empire",
obtenturus esset imperium suæ civitatis;,de sa cité;,
non esse dubium quin Helvetii,disent n'être pas douteux que les Helvètiens,
possent plurimum totius Galliæ;,ne fussent-puissants le plus de toute la Gaule;,
totius Galliæ confirmat,il assure à toute la Gaule,

"IV. Ut ea res emuntiata est Helvetiis per indicium, suis moribus coegerunt Orgetorigem dicere causam ex vinculis :","IV. Dès que ce fait eut été révélé aux Helvètiens par une dénonciation, d'après leurs mœurs ils forcèrent Orgétorix à dire (plaidier) sa cause dans des lions :",
"ex vinculis : oportebat ponam, ut cremaretur igni, sequi damnatum.","il fallait un châtiment, à saroir qu'il fût brûlé par le feu,",
"Die dictionis causa constituta, Orgetorix coegit undique ad iudicium omnem suam familiam, ad decem millia hominum, et conduxit eodem","auivre lui condamné (sa condamnation). Le jour de la plaidoirie de la cause avait été établi, Orgetorix rassembla de-tous-côtes auprès du tribunal toute sa famille, qui allait à dix milliers d'hommes, et il réunit au-mêne-endroit",
qui eo tempore obtinebat principatum in civitate,qui en ce temps occupait le premier-rang dans la cité,
"ac erat maxime acceptus plebi,","et était le plus agréable au peuple,",
"plebi, ut conaretur idem, datque ei suam filium in matrimonium.","qu'il tentât de faire la même chose, et il donne à lui sa fille en mariage.",
"Probat illis esse perfacile factu perficere conata, propterea quod ipse obtenturus esset imperium","Il prouve à eux être très-facile à être fait (à faire) d'achever ces entreprises, parce que lui-même devait obtenir l'empire",
obtenturus esset imperium suæ civitatis;,de sa cité;,
non esse dubium quin Helvetii possent plurimum totius Galliæ;,que les Helvètiens ne fussent-puissants le plus de toute la Gaule;,
totius Galliæ confirmat,il assure,
se conciliaturum regnaillis suis copiis suoque exercitu.,se conciliaturum regnaillis suis copiis suoque exercitu.,
"Adducti hac oratione, dant inter se fidem et jusjurandum,","Adducti hac oratione, dant inter se fidem et jusjurandum,",
"et sperant, regno occupato, sese posse potiri totius Galliæ","et sperant, regno occupato, sese posse potiri totius Galliæ",
per tres populos potentissimos ac firmissimos.,per trois populos potentissimos ac firmissimos.,
"IV. Ut ea res emuntiata est Helvetiis per indicium, suis moribus coegerunt Orgetorigem dicere causam ex vinculis :","IV. Dès que ce fait eut été révélé aux Helvètiens par une dénonciation, d'après leurs mœurs ils forcèrent Orgétorix à dire (plaidier) sa cause dans des lions :",
"ex vinculis : oportebat ponam, ut cremaretur igni, sequi damnatum.","il fallait un châtiment, à saroir qu'il fût brûlé par le feu,",
"Die dictionis causa constituta, Orgetorix coegit undique ad iudicium omnem suam familiam, ad decem millia hominum, et conduxit eodem","auivre lui condamné (sa condamnation). Le jour de la plaidoirie de la cause avait été établi, Orgetorix rassembla de-tous-côtes auprès du tribunal toute sa famille, qui allait à dix milliers d'hommes, et il réunit au-mêne-endroit",
omnes suos clientes,tous ses clients,
quorum habebat,dont il avait,
magnum numerum :,un grand nombre :,
se eripuit per eos,il se déroba à-l'aide d'eux,
ne diceret causam.,pour qu'il ne dit (plaidât) pas sa cause.,
"Quam civitas,","Comme la cité,",
"incitata ob eam rem,","animée pour ce fait,",
conaretur exsequiscum jus,s'efforçait de poursuivre son droit,
"armis,","par les armes,",
magistratusque,et que les magistrats,
cogerent ex agris,rassemblaient des champs,
"multitudinem hominum,","un grand-nombre d'hommes,",
Orgetorix mortuus est;,Orgetorix mourut ;,
"neque suspicio abest,","et le soupçon ne manque pas,",
"ut Helvetii arbitrantur,","comme les Helvètiens conjecturent,",
quin ipse,que lui-même,
consciverit mortem sibi.,n'ait résolu (donné) la mort à lui-même.,
V. Post mortem ejus,V. Après la mort de lui,
Helvetii nihilominus,les Helvètiens neanmoins,
"conantur facere id,","entreprennent de faire cela,",
"quod constituerant,","qu'ils avaient arrêté,",
ut exeant e suis finibus.,qu'ils sortent de leurs frontières.,
Ubi arbitrati sunt,Dès qu'ils pensèrent,
se jam esse paratos,eux-mêmes déjà être préparés,
"ad eam rem,","pour ce fait,",
incendunt,ils incendient,
"omnia sua oppida,","toutes leurs villes,",
"ad duodecim numero,","qui allaient à douze par le nombre,",
vicos,leurs bourgades,
"ad quadringentos,","qui allaient à quatre-cents,",
"reliqua ædificia privata,","tous-les-autres édifices particuliers,",
comburunt,brillent,
"omne frumentum,","tout le blé,",
præter quod portaturierant,excepté celui qu'ils allaient emporter,
"secum,","avec eux-mêmes,",
"ut, spe reditionis domum","afin que, l'espoir d'un retour à la maison",
"sublata,","ayant été enlevé,",
essent paratiores,ils fussent plus prêts,
ad subeunda omnia pericula,à subir tous les périls :,
jubent quemque,ils ordonnent chacun,
efferre sibi domo,emporter pour soi de sa maison,
cibaria molita,les aliments moulus (la farine),
trium mensium.,de trois mois.,
Persuadent Rauraques et Tulingis et Lalobrigis,Ils persuadent aux Rauraques et aux Tulingiens et aux Latobriges,
finitimis,leurs voisins,
"uti, nsi eodem consilio,","que, ayant fait-usage de la même résolution",
"suis oppidis vicisque exustis,",leurs villes et leurs bourgades ayant été consumées,
proficiscantur una eum iis;,ils partent ensemble avec eux ;,
"adsciscuntque sibi socios,",et ils adjoint à eux-mêmes comme compagnons,
"receptos ad se,"admis vers eux (dans leurs rangs),
"Boios, qui incoluerant","les Boiens, qui s'étaient établis",
"trans Rhenum,","au dela du Rhin,",
et transierant,et avaient passé,
"in agrum Noricum,","sur le territoire de-la-Norique,",
oppugnantque Noroiam.,et avaient assailli Noréia.,
VI. Deo itinera,VI. Deux routes,
"erant omnino,","étaient en tout,",
quibus itineribus,par lesquelles routes,
possent exire domo :,ils pussent sortir de leur maison (pays) :,
"unum per Sequanos,","l'une à travers les Séquaniens,",
"angustum et difficile,","étroite et difficile,",
inter montem Juram,entre le mont Jura,
"et flumen Rhodanum,","et le fleuve du Rhône,",
qua vix carri,par ou à peine les chariots,
ducerentur singuli ;,pouvaient être conduits un-à-un ;,
mons autem altissimus,ou la montagne très-élevée,
"impendebat,",était suspendue-au-dessus
ut perpauci,de sorte-que des ennemis très-peu-nombreux,
possent facile prohibere :,pouvaient facilement les écarter :
alterum,l'autre,
"per nostram provinciam,", "par notre province,",
multo facilius,beaucoup plus facile,
"expeditiusque,","et plus dégagée (libre),",
propterena quod Rhodanus,parce que le Rhône,
fluit inter fines,coule entre les frontières,
Helvetiorum,des Helvétiens,

"qui pacati erant nuper,",qui avaient été pacifiés (soumis) récemment,
isque,et que celui-ci (le Rhône),
nonnullis locis,en plusieurs endroits,
transitur vado.,se passe à gué.,
Geneva,Genève,
est extremum oppidum,est la dernière ville,
"Allobrogum,","de Allobroges,"
proximumque,et la plus proche,
finibus Helvetiorum.,des frontières des Helvétiens.,
Ex eo oppido,De cette ville,
pons pertinet ad Helvetios.,un pont aboutit aux Helvétiens.,
Existimabant sese,Ils pensaient eux-mêmes,
vel persuasuros,ou devoir persuader,
"Esse in animo sibi facere iter per provinciam sine ullo maleficio, propterea quod haberent nullum aliud iter;",Être dans l'esprit à eux de faire route par la province sans aucun mal (sans faire de dégât);parce qu'ils n'avaient aucun autre chemin;
rogare ut liceat sibi facere id voluntate ejus.,qu'il soit permis à eux de faire cela avec la volonté (le consentement) de lui.
"Caesar, quod tenebat memoria","César, parce qu'il gardait dans sa mémoire"
"L. Cassius consul occisum, exercitumque ejus pulsum et missum sub jugum","L. Cassius consul avoir été tué,et l'armée de lui avoir été battue et envoyée sous le joug"
"ab Helvetiis,","par les Helvètiens,"
non putabat concedendum;,ne pensait pas la chose devoir être accordée
neque existimabat,et il ne croyait pas
"homines animo inimico,","des hommes d'une âme ennemie,"
facultate faciendi itineris,la faculté de faire route
per provinciam,à travers la province
"data,","leur ayant été donnée,"
temperaturos ab injuria et maleficio.,devoir s'abstenir d'insulte et de dégât.
"Tamen, ut spatium posset intercedere,","Cependant, afin qu'un espace de temps pût se passer-dans-l'intervalle,"
dum milites,tandis que les soldats
quos imperaverat,qu'il avait commandés
"convenirent,","se rassemblèrent,"
respondit legatis,il répondit aux députés
se sumpturum diem,lui-même devoir prendre du temps
ad deliberandum;,pour délibérer;
"si vellent quid,","s'ils voulaient quelque chose,"
reverterentur,qu'ils revinssent
ante diem idus apriles.,le jour avant les ides d'avril.
VIII. Interea,le VIII. Cependant
"ea legione,","avec cette légion,"
"quam habebat secum,","qu'il avait avec lui-même,"
militibusque,et avec les soldats
qui convenerant,qui s'étaient réunis
"ex provincia,","venant de la province,"
perducit murum,il conduit un mur
sedecim pedum,de seize pieds
in altitudinem,en haut
fossamque,et un fossé
decem novem millia pas-,pendant dix-neuf milliers de pas
"a lacu Lemanno,","depuis le lac Léman,"
qui infuit,qui coule,
"in flumen Rhodanum,","dans le fleuve du Rhône,",
"ad montem Jura,","jusqu'au mont Jura,",
qui dividit ab Helvetiis,qui sépare des Helvétiens,
fines Sequanorum;,les frontières des Séquaniens.,
"Eo opere perfecto,","Cet ouvrage étant achevé,",
"disponit praevidia,","il dispose des garnisons,",
"communit castella,","fortifie des redoutes,",
quo possit facilius,afin qu'il puisse plus facilement,
"prohibere,","les écarter,",
si conarentur transire,s'ils entreprenaient de passer,
se invito.,lui-même ne-voulant-pas.,
"Ubi ea dies,","Dès que ce jour,",
quam constituerat,qu'il avait établi (fixé),
"cum legatis,","avec les députés,",
"venit,","fut venu,",
et legati,et que les députés,
"reverterant ad eum,","furent-de-retour vers lui,",
negat se posse,il nie lui-même pouvoir,
more et exemplo,d'après la coutume et l'exemple,
populi Romani,du peuple romain,
dare iter ulli,donner route (passage) à personne,
per provinciam;,à travers la province;,
"et ostendit prohibiturum,",et il montra (signifia) lui devoir les,
si consentur facere vim.,s'ils essayaient de faire violence.,
"Helvetii, dejecti ea spe,","Les Helvétiens, déçus de cet espoir,",
conati,ayant essayé,
"si possent perrumpere,","s'ils pourraient forcer le passage,",
"nonnunquam interdiu,","quelquefois pendant-le-jour,",
"sapius noctu,","plus souvent de nuit,",
navibus junctis,les uns des navires ayant été,
ratibusque compluribus,et des radeaux très-nombreux,
"factis,","ayant été faits,",
"alii vadis Rhodani,","d'autres par les gués du Rhône,",
qua altitudo fluminis,par où la profondeur du fleuve,
"erat minima,","était la moindre,",
repulsi,ayant été repoussés,
munitione operis,par la fortification de l'ouvrage,
et concursu,et par le concours,
"et telis militum,","et les traits des soldats,",
destituerunt hoc conatu.,se désisterent de cette tentative.,
IX. Una via,IX. Une seule route,
"relinquebatur,","était laissée,",
"per Sequanos,","à travers les Séquaniens,",
qua non poterant ire,par où ils ne pouvaient pas aller,
"Sequanis invitis,","les Séquaniens ne-voulant-pas,",
propter angustias.,à-cause-des défilés.,
"Quam non posseit persuadere his sua sponte, mittunt legatos ad Dumnorigem Eduum, ut imperarent a Sequanis, eo deprecato.","Comme ils ne pouvaient pas persuader ceux-ci par leur propre influence, ils envoient des députés à Dumnorigem l'Eduen, afin qu'ils obtinsseint le passage des Séquaniens, celui-ci étant intercesseur.",
"Dumnorix poterat plurimum apud Sequanos gratia et largitione, et erat amicus Helvetiis, et erat amicus Helvetiis, quod duxerat in matrimo- parce qu'il avait emmené en mariage ex en civitate filiam Orgetorigis, et adductus cupiditate regni studebat rebus novis, et volebat habere civitates quam plurimas obstrictas sibi suo beneficio.","Dumnorix pouvait beaucoup auprès des Séquaniens grâce et largesse, et était ami aux Helvètiens, et était ami aux Helvètiens, parce qu'il avait emmené en mariage ex en civitate filiam Orgetorigis, et adductus cupiditate regni studebat rebus novis, et volebat habere civitates quam plurimas obstrictas sibi suo beneficio.",
"Itaque suscipit rem et imperat Sequanis ut patientur Helvetios ire per suos fines, perficitque uti dent obsides inter sese : Sequani, ne prohibeant Helvetios itinere; Helvetii, ut transcant sine maleficio et injuria.","Aussi il entreprend l'affaire et obtient des Séquaniens qu'ils souffre les Helvètiens aller à travers leur territoire, aller à travers leur territoire, etacheve(fait) qu'ils se donnent des otages entre eux : les Séquaniens, pour qu'ils ne repoussent pas les Helvé- de leur route; les-Helvètiens, pour qu'ils passent sans dommage et dégât.",
"X. Renuntiatur Cæsari esse in animo Helvetiis facere iter per agrum Sequanorum et Eduorum in fines Santonum, qui absunt non longe a finibus Tolosatium, quæ civitas est in provincia. Si id fieret, intelligebat futurum cum magnopere provincia ut haberet finitimos, [culo ut haberet finitimos,","X. Il est rapporté à César être dans l'intention aux Helvètiens de faire route à travers le territoire des Séquaniens et des Eduens vers les frontières des Santons, qui sont-éloignés non loin des frontières des Tolosates, laquelle cité est dans la province. Si cela se faisait, il comprenait devoir être avec un grand danger (qu'il se- de(pour)la province[rait fort dangereux) qu'elle ent pour voisins,",
locis patentibus,dans des contrées ouvertes (de plaines),
"maximeque frumentariis,","et extrêmement fertiles-en-blé,",
"homines bellicosos,","des hommes belliqueux,",
inimicos populi Romani.,ennemis du peuple romain.,
Ob eas causas,Pour ces motifs,
prefectit T. Labienum,il prépose T. Labienum,
legatum,son lieutenant,
ei munitioni quam fecerat:,à ces retranchements qu'il avait faits :,
ipse contendit in Italiam,lui-même se rend en Italie,
"magnis itineribus,","à grandes marches,",
conscribitque ibi,et chrôle la,
"duas legiones,","deux légions,",
et educit ex hibernis,et fait-sortir des quartiers-d'hiver,
"tres, quæ hiemabant","trois légions, qui hivernaient",
"circum Aquileiam,","autour d'Aquilée,",
et contendit ire,et se hate d'aller,
cum his quinque legionibus,avec ces cinq légions,
qua iter,par où la route,
in Galliam ulteriorem,vers la Gaule ultérieure,
erat proximum per Alpes.,était la plus proche (courte) à travers les,
Tbi Centrones et Graiocali,Là les Centrons et les Graiocèles,
"et Caturiges,","et les Caturiges,",
locis superioribus,des lieux plus élevés,
"occupatis,","étant occupés,",
conantur,tentent,
prohibere exercitum,de repousser l'armée,
itinere.,de sa route.,
His pulsis,Ceux-ci ayant été battus,
"compluribus proeliis,","en plusieurs combats,",
pervenit septima die,il parvient le septième jour,
"ab Ocelo,","d'Ocelo,",
quod est extremum,qui est le point extrême,
"provinciæ citerioris,","de la province citerienne,",
in fines Vocontiorum,au territoire des Vocontiens,
provinciæ ulterioris,de la province ulterienne ;,
inde ducit exercitum,de la it conduit son armée,
"in fines Allobrogum,","sur le territoire des Allobroges,",
ab Allobrogibus,et de chez les Allobroges,
in Segusianos.,chez les Séguisiens.,
Hi sunt primi,Ceux-ci sont les premiers,
extra provinciam,en dehors de la province,
trans Rhodanum.,au dela du Rhône.,
XI. Jam Helvetii,XI. Déjà les Helvètiens,
transdixerant suas copias,avaient fait passer leurs troupes,
per angustias,à travers les défiles,
"et fines Sequanorum,","et le territoire des Séquaniens,",
et pervenerant,et étaient arrivés,
"in fines Æduorum, populabanturque agros eorum.","sur le territoire des Éduens, et ravageaient les terres d'eux.",
"Ædni, quum non possent defendere ab iis se suasque, mittunt legatos ad Cæsarem","Les Éduens, comme ils ne pouvaient pas défendre contre eux leurs possessions, envoient des députés vers César",
rogatum auxilium :,"demander du secours, disant :",
"« Se meritos esse ita de populo Romano omni tempore, ut agri eorum non debuerint vastari pene in conspectu nostri exercitus, liberi abduci in servitutem, oppida expugnari. »","« Eux-mêmes avoir mérité ainsi du peuple romain en tout temps, que les terres d'eux n'aient pas du être devastées presque à la vue de notre armée, leurs enfants être emmenés en esclavage, leurs villes être prises-de-force. »",
"Eodem tempore Ambarri, necessarii et consanguinei","Dans le même temps les Ambarres, alliés et parents",
"des Éduens,","des Éduens,",
faciunt Cæsarem certiorem,font César mieux-informé,
"sese, agris depopulatis, non prohibere facile","(informent eux-mêmes, leurs terres ayant été ravagées ne pas écarter facilement",
ab oppidis,de leurs villes,
vim hostium :,la violence des ennemis :,
item Allobroges,de même les (ceux des) Allobroges,
qui habebant,qui avaient,
trans Rhodanum,au delà du Rhône,
vicos possessionesque,des bourgs et des biens,
se recipiunt ad Cæsarem,se retirent vers César,
"fuga,","par la fuite,",
et demonstrant,et lui exposent,
nihil reliqui esse sibi,rien de reste n'être à eux-mêmes,
præter solum agri.,excepté le sol nu de leur territoire.,
"Quibus rebus adductus,","Par lesquels faits améné (déterminé,",
Cæsar statuit,César résolut,
non exspectandum sibi,ne devoir pas être attendu par lui,
"dum, omnibus fortunis","que, tous les biens",
sociorum,des alliés,
"consumptis,","ayant été épuisés,",
Helvetii,les Helvètiens,
pervenirent in Santones.,arrivassent chez les Santons.,
"XII. Est flumen Arar, quod influit in Rhodanum per fines Éduorum et Sequanorum","XII. Il est une rivière, la Saône, qui coule pour se jeter dans le Rhône à travers le territoire des Éduens et des Séquaniens",
"lenitate incredibili,","avec une douceur (lentour) incroyable,",
ita ut non possit judicari oculis in utram partem fluat.,de-telle-sorte que il ne puisse être jugé par les yeux vers quel côté elle coule.,
Helvetii transibant id ratibus,Les Helvètiens passaient cette rivière avec des radeaux,
ac lintribus junctis.,et des barques jointes ensemble.,
Ubi Caesar factus est certior per exploratores,Dès que César était été fait mieux-informés an-moyen-de ses éclaireurs,
"jam Helvetios transduxises id flumen tres partes copiarum,",déjà les Helvètiens avoir mené-an-dela-de cette rivière trois parties (les trois quarts) de leurs,
quartam vero partem esse reliquam,"mais la quatrième partie [troupes,",
"esse reliquam citra flumen Ararim,","être de-reste (resté encore) en deçà de la rivière de la Saône,",
profectus e castris de tertia vigilia,étant parti de son camp à la troisième veille,
"cum tribus legionibus,","avec trois légions,",
"pervenit ad eam partem,","il arrive à cette partie,",
quæ nondum transierat flumen,qui pas encore n'avait passé la rivière.
"Aggressus eos impeditos et inopinantes,","Ayant attaqué eux embarrassés et qui-ne-s'y-attendaient-pas,",
concidit magnam partem eorum:,il tailla-en-pièces une grande partie d'eux :,
reliqui sese mandarunt fugæ,les autres se confirment à la fuite,
atque abiderunt in silvas proximas.,et se cachèrent dans les forêts les plus proches.,
Is pagus appellatur Tigurinus :,Cette bourgade est appelée bourgade des-Tigurins :,
nam omnis civitas Helvetia est divisain quatuor pagos.,car toute la cité des-Helvètiens est divisée en quatre bourgades.,
"Hic pagus unus,","Cette bourgade seule,
"quum exisset domo,","lorsqu'elle était sortie de sa demeure,",
"memoria nostrorum patrum,", de la mémoire (du temps) 
"nostrorum patrum,",de nos pères,
interfecerat,avait tué,
"consulem L. Cassium,","le consul L. Cassius,",
et miserat sub jugum exercitum ejus.,et avait envoyé (fait passer) sous le joug l'armée de lui.
"Ita, sive casu,","Ainsi, soit par hasard,",
sive consilio,soit par un conseil,
"deorum immortalium,","des dieux immortels,",
"ea pars civitatis Helvetia,",cette partie de la cité helvétique,
quæ intulerat,qui avait apporté,
populo Romano,au peuple romain,
"calamitatem insignem,","un désastre remarquable,",
persolvit poenas princeps.,paya des peines (fut punie) la première.,
In qua re Cæsar ultus est,Dans lequel fait César vengea,
non solum,non seulement,
"injurias publicas,","les injures publiques,",
"sed etiam privatas,","mais encore ses injures personnelles,",
quod Tigurini interfecerant,parce que les Tigurins avaient tué,
"avum L. Pisonis socerijus,","l'âgeul de L. Pison beau-père de lui,",
"L. Pisonem legatum,","L. Pison le lieutenant,",
"eodem proelio,","dans le même combat,",
quo Cassium.,"dans lequel il avait été fait (livré,",
"XIII. Hoc proelio facto,","XIII. Ce combat ayant été fait (livré,",
ut posset consequi,afin qu'il pût atteindre,
reliquas copias,le reste-des troupes,
"Helvetiorum,","des Helvètiens,",
curat pontem faciendum,il s'occupe d'un pont devant être fait,
"in Arari,","sur la Saône,",
atque ita,et ensuite,
transductit exercitum.,fait-passer son armée.,
"Helvetii, commoti","Les Helvètiens, émus",
"adventu repentino ejus,","de l'arrivée soudaine de lui,",
quam intelligent,comme ils reconnaissaient,
illum fecisse uno die,lui avoir fait en un-seul jour,
id quod ipsi confecerant,ce qu'eux-mêmes avaient achevé,
ægerrime,très-péniblement,
"viginti diebus,","en vingt jours,",
"ut transirent flumen,","à savoir qu'ils passassent la rivière,",
mittunt legatos ad eum :,envoient des députés vers lui :,
cujus legationis,de laquelle députation,
"Divico fuit princeps,","Divicon fut le chef,",
qui fuerat dux Helvetiorum,qui avait été général des Helvètiens,
bello Cassiano.,dans la guerre contre-Cassius.,
Is agit ita cum Cæsare :,Celui-ci s'explique ainsi avec César :,
Si populus Romanus,Si le peuple romain,
faceret pacem,faisait la paix,
"cum Helvetiis,","avec les Helvètiens,",
Helvetios,les Helvètiens,
ituros in eam partem,devoir aller de ce côté,
"atque futuros ibi,","et devoir être (rester) là,",
